Holobiont,Species,Time,Region,Treatment,Sample_ID,Nubbin_ID,host_d15N,host_d13C,host_CN_molar,sym_d15N,sym_d13C,sym_CN_molar
C8 group,Stylophora,Before,Lizard,Juvenile,LJ050,LJ050,3.4,-17.3,5.9,2.7,-17.1,6.5
C8 group,Stylophora,Before,Lizard,Juvenile,LJ052,LJ052,3.4,-16.2,5.7,2.9,-15.7,7.3
C8 group,Stylophora,Before,Lizard,Juvenile,LJ053,LJ053,3.6,-18,5.7,3.1,-17.5,7.1
C8 group,Stylophora,Before,Lizard,Juvenile,LJ056,LJ056,4,-17.1,5.1,2.9,-15.9,7.4
C8 group,Stylophora,Before,Lizard,Juvenile,LJ065,LJ065,4,-17,5.4,2.6,-15.6,6.6
C8 group,Stylophora,Before,Lizard,Juvenile,LJ068,LJ068,3.4,-16.4,5.7,3.2,-16.1,6.1
C8 group,Stylophora,Before,Lizard,Juvenile,LJ069,LJ069,3.5,-16.8,6,3,-16.9,6.7
C8 group,Stylophora,Before,Lizard,Juvenile,LJ070,LJ070,3.4,-17.1,6,2.8,-16.7,6.7
C8 group,Stylophora,Before,Lizard,Juvenile,LJ081,LJ081,2.9,-15.8,5.6,3.2,-14.9,6.7
C8 group,Stylophora,Before,Lizard,Juvenile,LJ082,LJ082,3.1,-16.7,5.8,1.5,-16,6.7
C8 group,Stylophora,Before,Lizard,Juvenile,LJ086,LJ086,3.3,-16.3,5.7,3,-15.3,10.4
C8 group,Stylophora,Before,Lizard,Juvenile,LJ088,LJ088,3.6,-15.3,5.4,2.9,-14.7,7.3
Pver_PbairdiC. pacificum,Pocillopora,During,Lizard,Adult,LA004,LA004,4.1,-16.4,5.8,,,
Pver(OPI40)C. pacificum,Pocillopora,During,Lizard,Adult,LA006,LA006,3.9,-14.8,5.5,,,
Pver_PbairdiC. pacificum,Pocillopora,During,Lizard,Adult,LA018,LA018,3.8,-15.6,6,,,
Pver_PbairdiC. pacificum,Pocillopora,During,Lizard,Adult,LA019,LA019,3.8,-15.7,5.8,,,
Pver(OPI40)C. pacificum,Pocillopora,During,Lizard,Adult,LA025,LA025,4.4,-15.7,5.6,,,
Pver_PbairdiC. pacificum,Pocillopora,During,Lizard,Adult,LA027,LA027,3.8,-14.9,6.3,,,
Pver_PbairdiC. pacificum,Pocillopora,During,Lizard,Adult,LA028,LA028,3.8,-16.5,5.9,,,
Pver_PbairdiC. pacificum,Pocillopora,During,Lizard,Adult,LA029,LA029,4.2,-16.3,5.7,,,
C8 group,Stylophora,During,Lizard,Adult,LA052,LA052,3.8,-15.2,5.6,,,
C8 group,Stylophora,During,Lizard,Adult,LA053,LA053,3.9,-14.8,5.2,,,
C8 group,Stylophora,During,Lizard,Adult,LA055,LA055,4.1,-14.8,5.4,,,
C8 group,Stylophora,During,Lizard,Adult,LA056,LA056,4,-14.5,5.3,,,
C8 group,Stylophora,During,Lizard,Adult,LA065,LA065,3.6,-15.1,5.2,,,
C8 group,Stylophora,During,Lizard,Adult,LA066,LA066,3.4,-14.5,6,,,
C8 group,Stylophora,During,Lizard,Adult,LA070,LA070,3.6,-15.2,5.5,,,
C8 group,Stylophora,During,Lizard,Adult,LA071,LA071,4.3,-14.9,5.6,,,
C8 group,Stylophora,During,Lizard,Adult,LA082,LA082,4.1,-14.3,6,,,
C8 group,Stylophora,During,Lizard,Adult,LA083,LA083,3.8,-15.4,5.3,,,
C8 group,Stylophora,During,Lizard,Adult,LA086,LA086,3.4,-14.8,5.3,,,
C8 group,Stylophora,During,Lizard,Adult,LA088,LA088,4.2,-14.5,5.6,,,
Pver(OPI40)C. pacificum,Pocillopora,During,Lizard,Juvenile,LJ001,LJ001,3.4,-15.8,6.3,,,
Pver_PbairdiC. pacificum,Pocillopora,During,Lizard,Juvenile,LJ002,LJ002,3.5,-16.4,5.7,,,
